round_num,hole,par,yardage,morning_wave_avg_score,morning_wave_score_to_par,afternoon_wave_avg_score,afternoon_wave_score_to_par,total_avg_score,total_avg_score_to_par,morning_wave_birdies,morning_wave_pars,morning_wave_bogeys,morning_wave_doubles_or_worse,morning_wave_players_thru,afternoon_wave_birdies,afternoon_wave_pars,afternoon_wave_bogeys,afternoon_wave_doubles_or_worse,afternoon_wave_players_thru,total_birdies,total_pars,total_bogeys,total_doubles_or_worse,total_players_thru,morning_wave_birdie_percent,morning_wave_par_percent,morning_wave_bogey_percent,afternoon_wave_birdie_percent,afternoon_wave_par_percent,afternoon_wave_bogey_percent,total_birdie_percent,total_par_percent,total_bogey_percent
1,1,5,565,4.64,-0.36,4.67,-0.33,4.65,-0.35,19,40,3,0,66,24,35,4,1,66,43,75,7,1,132,28.79,60.61,4.55,36.36,53.03,6.06,32.58,56.82,5.3
1,2,4,389,3.96,-0.04,3.91,-0.09,3.93,-0.07,10,49,7,0,66,16,41,8,1,66,26,90,15,1,132,15.15,74.24,10.61,24.24,62.12,12.12,19.7,68.18,11.36
1,3,4,483,4.23,0.23,4.14,0.14,4.18,0.18,5,44,14,3,66,6,47,11,2,66,11,91,25,5,132,7.58,66.67,21.21,9.09,71.21,16.67,8.33,68.94,18.94
1,4,3,247,3.12,0.12,3.12,0.12,3.12,0.12,5,48,13,0,66,3,52,11,0,66,8,100,24,0,132,7.58,72.73,19.7,4.55,78.79,16.67,6.06,75.76,18.18
1,5,4,481,4.27,0.27,4.33,0.33,4.3,0.3,6,39,18,3,66,4,42,15,5,66,10,81,33,8,132,9.09,59.09,27.27,6.06,63.64,22.73,7.58,61.36,25.0
1,6,4,406,4.06,0.06,4.11,0.11,4.08,0.08,12,39,14,1,66,6,48,11,1,66,18,87,25,2,132,18.18,59.09,21.21,9.09,72.73,16.67,13.64,65.91,18.94
1,7,4,440,4.06,0.06,4.17,0.17,4.11,0.11,11,40,15,0,66,6,45,13,2,66,17,85,28,2,132,16.67,60.61,22.73,9.09,68.18,19.7,12.88,64.39,21.21
1,8,3,199,3.0,0.0,3.11,0.11,3.05,0.05,9,49,7,1,66,7,47,10,2,66,16,96,17,3,132,13.64,74.24,10.61,10.61,71.21,15.15,12.12,72.73,12.88
1,9,4,407,4.0,0.0,4.21,0.21,4.11,0.11,12,44,8,2,66,6,42,16,2,66,18,86,24,4,132,18.18,66.67,12.12,9.09,63.64,24.24,13.64,65.15,18.18
1,10,4,408,4.03,0.03,4.01,0.01,4.02,0.02,9,46,11,0,66,9,47,10,0,66,18,93,21,0,132,13.64,69.7,16.67,13.64,71.21,15.15,13.64,70.45,15.91
